district,link
Phú Nhuận,https://www.google.com/maps/place/The+Little+Door/data=!4m7!3m6!1s0x31752facfe18575b:0xd4877dbf5e55b6ad!8m2!3d10.787121!4d106.692198!16s%2Fg%2F11gmwsb3p6!19sChIJW1cY_qwvdTERrbZVXr99h9Q?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/C%C3%B4n+S%C6%A1n+Restaurant+%26+Lounge/data=!4m7!3m6!1s0x31752fac4bc9f27d:0x7f78b7bf9cd3d81f!8m2!3d10.7843201!4d106.6850108!16s%2Fg%2F11rp0hrv8z!19sChIJffLJS6wvdTERH9jTnL-3eH8?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+C%C6%A1m+T%E1%BA%A5m+Kim+K%C3%AA/data=!4m7!3m6!1s0x31752922a823b47d:0xd74928873a072599!8m2!3d10.8128361!4d106.6652015!16s%2Fg%2F1pp2v29hb!19sChIJfbQjqCIpdTERmSUHOocoSdc?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Ch%E1%BA%A3+C%C3%A1+L%C3%A3+V%E1%BB%8Dng/data=!4m7!3m6!1s0x31752913b5dcc42f:0x313a4898ef207ab8!8m2!3d10.8115621!4d106.6669219!16s%2Fg%2F11jw9d8fw9!19sChIJL8TctRMpdTERuHog75hIOjE?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Com+Ngon+%26+Cong+Chua+Pot+Restaurant/data=!4m7!3m6!1s0x3175291809b77887:0x2e6f35d488312bb3!8m2!3d10.8129466!4d106.6654658!16s%2Fg%2F1pzxb2syl!19sChIJh3i3CRgpdTERsysxiNQ1by4?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+V%E1%BB%B1a+H%E1%BA%A3i+S%E1%BA%A3n+H%C3%B2n+%C4%90%E1%BA%A3o/data=!4m7!3m6!1s0x317529187eff30b1:0x6e1d920da2c4750d!8m2!3d10.8129654!4d106.6671771!16s%2Fg%2F11fx8yrjtg!19sChIJsTD_fhgpdTERDXXEog2SHW4?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Qua+Ngon+Restaurant/data=!4m7!3m6!1s0x317528d50af73fcb:0x3a1550f5be1d7af8!8m2!3d10.7968835!4d106.6652361!16s%2Fg%2F1hc6z18mj!19sChIJyz_3CtUodTER-HodvvVQFTo?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Hoa+vi%C3%AAn+Tri+K%E1%BB%B7/data=!4m7!3m6!1s0x317528df035f4665:0x6b9d7fc885b17935!8m2!3d10.8102932!4d106.6723832!16s%2Fg%2F11_tlfjck!19sChIJZUZfA98odTERNXmxhch_nWs?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Dat+Tien+Sa+Restaurant/data=!4m7!3m6!1s0x3175292338c7f24b:0x56b1455845c1e9aa!8m2!3d10.8085229!4d106.665356!16s%2Fg%2F1hc3d2fd8!19sChIJS_LHOCMpdTERqunBRVhFsVY?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+c%C3%A2y+sung/data=!4m7!3m6!1s0x317529192f9fe1a5:0xe404e01ea77ff268!8m2!3d10.8160564!4d106.6697346!16s%2Fg%2F1tdzj18f!19sChIJpeGfLxkpdTERaPJ_px7gBOQ?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Qu%C3%A1n+%C4%82n+Hu%E1%BA%BF+Ho%C3%A0ng+Gia/data=!4m7!3m6!1s0x31752941fa0faec5:0x51929b163a1c8109!8m2!3d10.812402!4d106.667268!16s%2Fg%2F11h5rdd141!19sChIJxa4P-kEpdTERCYEcOhabklE?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+H%C6%B0%C6%A1ng+Cau+1/data=!4m7!3m6!1s0x3175292dc9093a4d:0xe146553bc81dbb0f!8m2!3d10.795393!4d106.66716!16s%2Fg%2F1td9b7qw!19sChIJTToJyS0pdTERD7sdyDtVRuE?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+C%C6%A1m+Ni%C3%AAu+Tr%C6%B0%E1%BB%9Dng+S%C6%A1n/data=!4m7!3m6!1s0x317529d820883e11:0x7f993d1e0e75a8ab!8m2!3d10.8056024!4d106.6646204!16s%2Fg%2F11j09ywjx1!19sChIJET6IINgpdTERq6h1Dh49mX8?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+V%C6%B0%E1%BB%9Dn+D%E1%BB%ABa/data=!4m7!3m6!1s0x31752925482d797f:0x65a4c97fcc9dcce!8m2!3d10.80347!4d106.6650045!16s%2Fg%2F11btrqz5nb!19sChIJf3ktSCUpdTERztzJ_JdMWgY?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/M%E1%BB%98C+Ri%C3%AAu+%26+N%C6%B0%E1%BB%9Bng/data=!4m7!3m6!1s0x317529236509eb2d:0x48ead32982a84ba7!8m2!3d10.8079318!4d106.666462!16s%2Fg%2F11b7lcqzh9!19sChIJLesJZSMpdTERp0uoginT6kg?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+H%C6%B0%C6%A1ng+V%E1%BB%8B+B%E1%BA%AFc/data=!4m7!3m6!1s0x31752992cdfe1ad7:0xa2e73220a553a0e0!8m2!3d10.8115621!4d106.6669219!16s%2Fg%2F11t27c2g4b!19sChIJ1xr-zZIpdTER4KBTpSAy56I?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+%E1%BA%A8m+Th%E1%BB%B1c+Farm+2/data=!4m7!3m6!1s0x31752fec6f0cd581:0xfee70851aeecf6e6!8m2!3d10.8119791!4d106.6682394!16s%2Fg%2F11h_12tgzz!19sChIJgdUMb-wvdTER5vbsrlEI5_4?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Qu%E1%BA%BF+L%C3%A2m+Qu%C3%A1n/data=!4m7!3m6!1s0x317529e38c49e6dd:0xb138a9f6340493b3!8m2!3d10.8047334!4d106.665194!16s%2Fg%2F11h64nvcsy!19sChIJ3eZJjOMpdTERs5MENPapOLE?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Ho%C3%A0ng+Long/data=!4m7!3m6!1s0x317529f166390c49:0x16dc9fca4804bdcd!8m2!3d10.7992927!4d106.6657971!16s%2Fg%2F11gy1wldv6!19sChIJSQw5ZvEpdTERzb0ESMqf3BY?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+Sky/data=!4m7!3m6!1s0x3175296cdb6dbdd3:0xa6086d2a982606f8!8m2!3d10.8002411!4d106.6721411!16s%2Fg%2F11h5p6hxd3!19sChIJ071t22wpdTER-AYmmCptCKY?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Garden+Town+Restaurant+Tan+Binh/data=!4m7!3m6!1s0x3175292ff423976f:0x1354e44c4d8dc883!8m2!3d10.8012569!4d106.6664961!16s%2Fg%2F1td8wm03!19sChIJb5cj9C8pdTERg8iNTUzkVBM?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/C%C6%A1m+Rang+D%C6%B0a+B%C3%B2/data=!4m7!3m6!1s0x31752918873f3bef:0xa6b8bac52c125b5b!8m2!3d10.8131377!4d106.6679511!16s%2Fg%2F11j00t87gg!19sChIJ7zs_hxgpdTERW1sSLMW6uKY?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Ni%C3%AAu+Ta+Lounge+%26+Restaurant/data=!4m7!3m6!1s0x317529f92b76b4c9:0xfb3e4f1dd8a03d1d!8m2!3d10.7992583!4d106.6737062!16s%2Fg%2F11hg_xwwm8!19sChIJybR2K_kpdTERHT2g2B1PPvs?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+C%C6%A1m+Ni%C3%AAu+Vi%E1%BB%87t+Nam/data=!4m7!3m6!1s0x31752948636c2fc5:0x358f08ee263f7a4f!8m2!3d10.8019967!4d106.6500415!16s%2Fg%2F11gc_zz0k9!19sChIJxS9sY0gpdTERT3o_Ju4IjzU?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Hansol+Restaurant+%ED%95%9C%EC%86%94%EC%8B%9D%EB%8B%B9/data=!4m7!3m6!1s0x3175293c805dfd25:0xc2d31bfd84357100!8m2!3d10.8077617!4d106.6616477!16s%2Fg%2F11c5b1r3l_!19sChIJJf1dgDwpdTERAHE1hP0b08I?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+C%C3%A2y+M%C3%ADt/data=!4m7!3m6!1s0x3175293ca41a637f:0xe65091940fb6daf4!8m2!3d10.807708!4d106.663668!16s%2Fg%2F11x9sjwlp!19sChIJf2MapDwpdTER9Nq2D5SRUOY?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/B%C3%BAn+ch%E1%BA%A3+V%C3%A2n+Anh/data=!4m7!3m6!1s0x3175291886c41b47:0x9b2396c8601aab62!8m2!3d10.8131352!4d106.6676398!16s%2Fg%2F1vn9ll2c!19sChIJRxvEhhgpdTERYqsaYMiWI5s?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Lynh+Anh/data=!4m7!3m6!1s0x317529cdeb926941:0xa5cfdd4340fa4f8e!8m2!3d10.799184!4d106.673553!16s%2Fg%2F11mvmxbwxv!19sChIJQWmS680pdTERjk_6QEPdz6U?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/L%C3%A0ng+V%C5%A9+%C4%90%E1%BA%A1i+Restaurant/data=!4m7!3m6!1s0x31752931e4ff64e9:0x6c98679a52ba9f8d!8m2!3d10.7985372!4d106.6627597!16s%2Fg%2F11csrg4dt3!19sChIJ6WT_5DEpdTERjZ-6UppnmGw?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/C%C6%A1m+C%E1%BA%ADu+C%E1%BA%A3/data=!4m7!3m6!1s0x317529d135089343:0xa246aa5613c756ee!8m2!3d10.813127!4d106.668284!16s%2Fg%2F11pc1nks_x!19sChIJQ5MINdEpdTER7lbHE1aqRqI?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Chef+Mamma%60s/data=!4m7!3m6!1s0x3175293cad0778d5:0x8ef43f120128cdb8!8m2!3d10.8077947!4d106.6631739!16s%2Fg%2F1tfrjv56!19sChIJ1XgHrTwpdTERuM0oARI_9I4?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Pepper+Lunch+Menas/data=!4m7!3m6!1s0x317529674346a7e1:0xc388bddcdbf5c03!8m2!3d10.8130253!4d106.6657579!16s%2Fg%2F11kjz504fv!19sChIJ4adGQ2cpdTERA1y_zd2LOAw?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+Tokyo+Deli/data=!4m7!3m6!1s0x31752924ad22211f:0x9fd7c6c22b70cd97!8m2!3d10.8071865!4d106.6647461!16s%2Fg%2F11b72jn92s!19sChIJHyEirSQpdTERl81wK8LG158?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+%C4%90i%E1%BB%83m+H%E1%BA%B9n/data=!4m7!3m6!1s0x3175291f2b6b52a5:0xd879e66d9b758c21!8m2!3d10.8085076!4d106.6755116!16s%2Fg%2F11j0zsdy8r!19sChIJpVJrKx8pdTERIYx1m23medg?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Big+Bowl/data=!4m7!3m6!1s0x3175291e43518fbb:0xb18e9a7381471fc7!8m2!3d10.8163366!4d106.6638183!16s%2Fg%2F11kpf2tkn4!19sChIJu49RQx4pdTERxx9HgXOajrE?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Qu%C3%A1n+C%C3%A1+R%C3%B4/data=!4m7!3m6!1s0x317529b72f30eb09:0x7e6dca951aecc262!8m2!3d10.8125004!4d106.6671684!16s%2Fg%2F11hdy4dbw6!19sChIJCeswL7cpdTERYsLsGpXKbX4?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/noodle+shop/data=!4m7!3m6!1s0x3175294a8e098b43:0x2eb9b1a47a344f92!8m2!3d10.8000197!4d106.6593822!16s%2Fg%2F11thyb56tt!19sChIJQ4sJjkopdTERkk80eqSxuS4?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/San+Fu+Lou+-+Cantonese+Kitchen+%28Tr%C6%B0%E1%BB%9Dng+S%C6%A1n%29/data=!4m7!3m6!1s0x3175290daa0f02b5:0xab5e5a216f006cf6!8m2!3d10.8081792!4d106.6648922!16s%2Fg%2F11qn73km5g!19sChIJtQIPqg0pdTER9mwAbyFaXqs?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Thu+L%C4%83ng_+B%C3%BAn.+Mi%E1%BA%BFn+_+Ngan+G%C3%A0+_+C%C6%A1m+b%C3%B2+x%C3%A0o+d%C6%B0a/data=!4m7!3m6!1s0x3175290b2034ecc7:0x287d8842f5a19dd9!8m2!3d10.8113937!4d106.6659599!16s%2Fg%2F11kb_t1zrq!19sChIJx-w0IAspdTER2Z2h9UKIfSg?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Yeebo+Hotpot+Seafood+Restaurant/data=!4m7!3m6!1s0x31752929f62ed4ff:0x15e108de98c1b8ab!8m2!3d10.7959637!4d106.6753624!16s%2Fg%2F11bxfjsxj7!19sChIJ_9Qu9ikpdTERq7jBmN4I4RU?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+Mu+Cung+Hoa/data=!4m7!3m6!1s0x317529c92d4a9dc1:0x6c0260dff2377918!8m2!3d10.803399!4d106.660049!16s%2Fg%2F11jn_kqx6t!19sChIJwZ1KLckpdTERGHk38t9gAmw?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Tri+K%C3%AC/data=!4m7!3m6!1s0x31752931914f006d:0x54c2a432522375a3!8m2!3d10.8101349!4d106.6722688!16s%2Fg%2F11td0ljpn7!19sChIJbQBPkTEpdTERo3UjUjKkwlQ?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Ti%E1%BB%87c+C%C6%B0%E1%BB%9Bi+%C4%90%C3%B4ng+Ph%C6%B0%C6%A1ng/data=!4m7!3m6!1s0x3175293149bd7331:0x4fcca2c901563c95!8m2!3d10.798103!4d106.6590714!16s%2Fg%2F11l8gtf0mx!19sChIJMXO9STEpdTERlTxWAcmizE8?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Hoang+Yen+Vietnamese+Cuisine/data=!4m7!3m6!1s0x31752f343be8ebe5:0x5893a7f3148f4ca9!8m2!3d10.7848421!4d106.6959753!16s%2Fg%2F1tm_zqhs!19sChIJ5evoOzQvdTERqUyPFPOnk1g?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/M%E1%BA%B9t+Tre+B%C3%BAn+%C4%90%E1%BA%ADu/data=!4m7!3m6!1s0x3175299be98c8a4f:0x6e883b57410f661e!8m2!3d10.812854!4d106.6698622!16s%2Fg%2F11txjchr5k!19sChIJT4qM6ZspdTERHmYPQVc7iG4?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/191+Seafood+Restaurant/data=!4m7!3m6!1s0x31752950deb7213d:0x71336572c6808c7!8m2!3d10.7991921!4d106.6735!16s%2Fg%2F11h874nh7s!19sChIJPSG33lApdTERxwhoLFc2Ewc?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+H%C3%A0n+Qu%E1%BB%91c+Kim+Gia/data=!4m7!3m6!1s0x3175293b80268917:0x442a954f99b9e58!8m2!3d10.8070794!4d106.6615956!16s%2Fg%2F11yl6j10m!19sChIJF4kmgDspdTERWJ6b-VSpQgQ?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Qu%C3%A1n+179/data=!4m7!3m6!1s0x3175291923b6e2ad:0x1e26669daf9a25b3!8m2!3d10.8159599!4d106.6690957!16s%2Fg%2F11c1x00tgf!19sChIJreK2IxkpdTERsyWar51mJh4?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+C%C6%A1m+Chay+H%C6%B0%C6%A1ng+Sen/data=!4m7!3m6!1s0x317528d873be0b65:0x9807f3caf14cabe2!8m2!3d10.805341!4d106.6779592!16s%2Fg%2F1td1yrfm!19sChIJZQu-c9godTER4qtM8crzB5g?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Hoa+Vien+Brauhaus+Tan+Binh/data=!4m7!3m6!1s0x31752925168ee199:0xc452357465a22c87!8m2!3d10.8036779!4d106.6663303!16s%2Fg%2F1q66nwyl8!19sChIJmeGOFiUpdTERhyyiZXQ1UsQ?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+H%C3%A0u+N%C3%A9+3+Ngon+-+B%C3%B2+S%E1%BB%91t+Ph%E1%BB%91/data=!4m7!3m6!1s0x31752978cefaaf7f:0xbdab091d272b8ae2!8m2!3d10.807644!4d106.6738!16s%2Fg%2F11q41yj1jg!19sChIJf6_6zngpdTER4oorJx0Jq70?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+h%E1%BA%A3i+s%E1%BA%A3n+Big+seafood/data=!4m7!3m6!1s0x317529d004eb7a1b:0x18125824c76bd5b4!8m2!3d10.8141774!4d106.6667656!16s%2Fg%2F11rfrbfh_p!19sChIJG3rrBNApdTERtNVrxyRYEhg?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Gia+Dinh+Ngon+Restaurant/data=!4m7!3m6!1s0x31752948636c2fc5:0x222c081c27a093f7!8m2!3d10.8019967!4d106.6500415!16s%2Fg%2F11dxqdjc61!19sChIJxS9sY0gpdTER95OgJxwILCI?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/C%C3%B4n+%C4%90%E1%BA%A3o+Qu%C3%A1n./data=!4m7!3m6!1s0x3175295c88657a1b:0xbd0ce022a1883099!8m2!3d10.8000986!4d106.6669927!16s%2Fg%2F11hzpndqzk!19sChIJG3pliFwpdTERmTCIoSLgDL0?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+H%E1%BA%A3i+S%E1%BA%A3n+Ba+Ba+Vang/data=!4m7!3m6!1s0x31752925406831bf:0xf99681cab74c2327!8m2!3d10.8030359!4d106.6656431!16s%2Fg%2F1v0lh7w_!19sChIJvzFoQCUpdTERJyNMt8qBlvk?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Qu%C3%A1n+nh%E1%BA%ADu+lTiger/data=!4m7!3m6!1s0x317529c785928753:0x9d9a097b2fcf683b!8m2!3d10.8162153!4d106.6692751!16s%2Fg%2F11tj6f6mq5!19sChIJU4eShccpdTERO2jPL3sJmp0?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/T%E1%BB%95+ch%E1%BB%A9c+Ti%E1%BB%87c+v%C3%A0+S%E1%BB%B1+Ki%E1%BB%87n+%7C+tiecBuffet.com/data=!4m7!3m6!1s0x317529283527b053:0x1a0623e39bde422f!8m2!3d10.7987564!4d106.674993!16s%2Fg%2F1yfh_jyvt!19sChIJU7AnNSgpdTERL0Lem-MjBho?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Qu%C3%A1n+D%C3%AA+TB/data=!4m7!3m6!1s0x3175292819b8ae6d:0x129f138e2f3726c5!8m2!3d10.8086436!4d106.6692584!16s%2Fg%2F11pw9k3gqt!19sChIJba64GSgpdTERxSY3L44TnxI?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Hong+Kong+Steam+-+Truong+Son/data=!4m7!3m6!1s0x317529f9fac7a9ab:0x8c69ba9a41ee6158!8m2!3d10.8099692!4d106.6650419!16s%2Fg%2F11h_z143bm!19sChIJq6nH-vkpdTERWGHuQZq6aYw?authuser=0&hl=en&rclk=1
Phú Nhuận,https://www.google.com/maps/place/Chillthai+-+thaifood/data=!4m7!3m6!1s0x3175299442f5d033:0xbdef48c4998b902c!8m2!3d10.8137359!4d106.6698666!16s%2Fg%2F11jz2xsyl4!19sChIJM9D1QpQpdTERLJCLmcRI770?authuser=0&hl=en&rclk=1
